Finding ID,Rule ID,Rule Version,Category,Title,Description,Severity,Confidence,Status,First Seen At,Last Seen At,Resource Type,Resource ID,Resource ARN,Region,Framework,Control ID
76a27bf7-bd0b-5e54-acc7-470509e8f501,aws.apigateway.restapi.waf_enabled,,,,,medium,high,open,2026-01-14T04:42:04.155425Z,2026-01-14T04:42:04.155425Z,apigateway,,aws.apigateway.restapi.waf_enabled#us-west-2#apigateway,us-west-2,,
c31e9adb-6616-555e-8da1-536284eb185c,aws.apigateway.stage.api_access_log_fields_identity_configured,,,,,medium,high,open,2026-01-14T04:42:04.155461Z,2026-01-14T04:42:04.155461Z,apigateway,,aws.apigateway.stage.api_access_log_fields_identity_configured#us-west-2#apigateway,us-west-2,,
316aa741-0e0c-5c42-8d2d-3a75dab942b7,aws.apigateway.stage.api_access_log_sink_configured,,,,,medium,high,open,2026-01-14T04:42:04.159018Z,2026-01-14T04:42:04.159018Z,apigateway,,aws.apigateway.stage.api_access_log_sink_configured#us-west-2#apigateway,us-west-2,,
a713f12f-5aba-56ab-b2f8-c8619fca82f5,aws.apigateway.stage.api_access_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.159124Z,2026-01-14T04:42:04.159124Z,apigateway,,aws.apigateway.stage.api_access_logging_enabled#us-west-2#apigateway,us-west-2,,
10e1788b-a983-59ef-9317-9962a6ece48e,aws.apigateway.stage.logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.159173Z,2026-01-14T04:42:04.159173Z,apigateway,,aws.apigateway.stage.logging_enabled#us-west-2#apigateway,us-west-2,,
cc7fd331-7e10-5819-ac15-f055929c2362,aws.apigateway.v2api.waf_enabled,,,,,medium,high,open,2026-01-14T04:42:04.159214Z,2026-01-14T04:42:04.159214Z,apigateway,,aws.apigateway.v2api.waf_enabled#us-west-2#apigateway,us-west-2,,
46a5ce61-a07e-5000-ae89-5800199407cd,aws.cloudformation.stack.cloudformation_approvals_required_for_changes,,,,,medium,high,open,2026-01-14T04:42:04.159253Z,2026-01-14T04:42:04.159253Z,cloudformation,,aws.cloudformation.stack.cloudformation_approvals_required_for_changes#us-east-1#cloudformation,us-east-1,,
0d6dc42f-5250-593b-bfed-82d7460e2703,aws.cloudformation.stack.cloudformation_storage_encrypted_and_private,,,,,medium,high,open,2026-01-14T04:42:04.159295Z,2026-01-14T04:42:04.159295Z,cloudformation,,aws.cloudformation.stack.cloudformation_storage_encrypted_and_private#us-east-1#cloudformation,us-east-1,,
f134b40e-e7c1-5121-bf56-bb5ff65ad1b6,aws.cloudformation.stack.cloudformation_approvals_required_for_changes,,,,,medium,high,open,2026-01-14T04:42:04.159336Z,2026-01-14T04:42:04.159336Z,cloudformation,,aws.cloudformation.stack.cloudformation_approvals_required_for_changes#us-west-2#cloudformation,us-west-2,,
bb387aef-8545-54ab-ae3b-c3300385fe79,aws.cloudformation.stack.cloudformation_storage_encrypted_and_private,,,,,medium,high,open,2026-01-14T04:42:04.159372Z,2026-01-14T04:42:04.159372Z,cloudformation,,aws.cloudformation.stack.cloudformation_storage_encrypted_and_private#us-west-2#cloudformation,us-west-2,,
